Optional,Dialogues
पंजीकरण,हैकथॉन के लिए रजिस्टर करें
मूलपाठ,हैकथॉन का दिन
कक्षा,भाग लेने वाले छात्र।
स्थापित करना,हैकथॉन की तैयारी
कोड,गहन कोडिंग शुरू होती है!
काम,25% कोड पूरा हुआ! हाँ!
काम,50% किया! जबरदस्त प्रगति!
अधूरा,70% किया! अब तनावपूर्ण
शोध पत्र,देखना! ऑनलाइन शोध पत्र
कागज को समझें,शोध पत्र की समीक्षा करें
कागज कार्यान्वयन,इसे कैसे लागू करें
चेतावनी!,कागज में एक दोष है
चेतावनी को नजरअंदाज,"इसे अनदेखा करें, कोडिंग जारी रखें"
कोडिंग जारी रखें,कोडिंग फिर से शुरू करें
परीक्षा ???,95% परियोजना पूरी!
कौतुहल,प्रोजेक्ट पूरा! लेकिन...
प्रस्तुत,परीक्षण के बिना काम दिया
खुश,हम इसे पूरा करने में कामयाब रहे
आराम,विराम समय!
